"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1991","2",998351864,38398148.6153846,22696836.5,0.24875830196299,37847242.9260922,26,7422455.00830118,26189296.5740963,50607000.6566729,0.292730512754174,0.0454698864256692
"1992","2",1080727568,49123980.3636364,27587529.5,0.249101592397331,45503054.4808279,22,9701283.81168087,33166788.4999075,65081172.2273652,0.292730512754174,0.0454698864256692
"1993","2",1315707624,52628304.96,32434006,0.292786090264171,69555596.6254169,25,13911119.3250834,29746549.8831819,75510060.0368181,0.292730512754174,0.0454698864256692
"1994","2",1128233800,56411690,27839091,0.244749944486032,70208603.001866,20,15699120.8917468,30588934.0612606,82234445.9387394,0.292730512754174,0.0454698864256692
"1995","2",1529331408,61173256.32,38187431,0.319020251849537,48849896.2012559,25,9769979.24025117,45103070.5314323,77243442.1085677,0.292730512754174,0.0454698864256692
"1996","2",1349518873,67475943.65,34814821.5,0.267483846952697,61853101.9391515,20,13830774.0555167,44726344.7812371,90225542.5187629,0.292730512754174,0.0454698864256692
"1997","2",1351797627,67589881.35,52021566.5,0.221100748179798,50696912.7030604,20,11336174.3053416,48943533.9281048,86236228.7718952,0.292730512754174,0.0454698864256692
"1998","2",1487251062,61968794.25,48807881.5,0.253300695003881,43261491.7571058,24,8830715.02637748,47443560.6102882,76494027.8897119,0.292730512754174,0.0454698864256692
"1999","2",1847898264,102661014.666667,75795212.5,0.27862723729029,101850559.359618,18,24006407.0636096,63173988.938015,142148040.395318,0.292730512754174,0.0454698864256692
"2000","2",1928178664,77127146.56,61335230,0.277396540194496,56114898.998827,25,11222979.7997654,58666987.5311528,95587305.5888472,0.292730512754174,0.0454698864256692
"2001","2",1891857310,82254665.6521739,57743062,0.257758882954834,65849334.0784348,23,13730535.3114134,59669944.8452103,104839386.459137,0.292730512754174,0.0454698864256692
"2002","2",2579104797,103164191.88,69599016,0.318235746870405,92258670.9831461,25,18451734.1966292,72813789.9631299,133514593.79687,0.292730512754174,0.0454698864256692
"2003","2",2233129276,106339489.333333,67406573,0.275412023485163,91222833.2781006,21,19906454.2192968,73596285.9109796,139082692.755687,0.292730512754174,0.0454698864256692
"2004","2",2826139097,100933539.178571,68519971.5,0.339520179043932,100479798.632868,28,18988897.0691726,69699582.9625348,132167495.394608,0.292730512754174,0.0454698864256692
"2005","2",2375166049,98965252.0416667,65628592.5,0.308560817288207,84904556.7987521,24,17331070.0828412,70458178.5569551,127472325.526378,0.292730512754174,0.0454698864256692
"2006","2",2313816039,100600697.347826,71726025,0.293316501896613,68828133.5456943,23,14351657.9369225,76994320.7375122,124207073.95814,0.292730512754174,0.0454698864256692
"2007","2",2289183844,109008754.47619,71985628,0.269010255648173,102827177.910567,21,22438729.822565,72100328.3433602,145917180.609021,0.292730512754174,0.0454698864256692
"2008","2",2525355378,109798059.913043,64506874,0.297472164765673,86144745.3820208,23,17962421.107428,80252506.4056609,139343613.420426,0.292730512754174,0.0454698864256692
"2009","2",2808211633,122096157.956522,68261644,0.284701582581423,102518856.828804,23,21376659.3614592,86934682.2737195,157257633.639324,0.292730512754174,0.0454698864256692
"2010","2",2758431276,125383239.818182,83990887.5,0.296032221527105,104273691.783219,22,22231225.7852265,88816127.453775,161950352.182589,0.292730512754174,0.0454698864256692
"2011","2",3084103388,118619361.076923,104189080.5,0.340495620274377,83234144.8404981,26,16323558.7976503,91769496.1838523,145469225.969994,0.292730512754174,0.0454698864256692
"2012","2",2829069662,104780357.851852,59650222,0.281924019667598,121203240.477888,27,23325574.5055212,66413202.0257186,143147513.677985,0.292730512754174,0.0454698864256692
"2013","2",2990122127,135914642.136364,104494442,0.297238072302024,98400657.2312566,22,20979090.6115668,101407108.853784,170422175.418943,0.292730512754174,0.0454698864256692
"2014","2",2761000928,125500042.181818,112539303,0.288054197057834,81353810.1758439,22,17344690.6077483,96970564.9273123,154029519.436324,0.292730512754174,0.0454698864256692
"2015","2",3072264642,139648392.818182,61628374,0.29766095212723,167424497.037298,22,35695022.7038296,80935305.2596725,198361480.376691,0.292730512754174,0.0454698864256692
"2016","2",2568219571,122296170.047619,65075540,0.247374293923586,129667374.501184,21,28295740.8960888,75753818.0074083,168838522.08783,0.292730512754174,0.0454698864256692
"2017","2",2588865433,107869393.041667,51956182,0.252053911636352,111118342.87008,24,22681936.7579439,70560927.0990788,145177858.984255,0.292730512754174,0.0454698864256692
