"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1984","3",584398884,24349953.5,20990077.5,0.184674390981707,16279552.7022847,24,3323049.78011205,18884023.0166424,29815883.9833576,0.236105422089755,0.0313623168870503
"1984","4",849812255,27413298.5483871,22812411,0.268546988944824,39828040.073081,31,7153327.1664602,15647122.4138645,39179474.6829097,0.316971123023708,0.0273595160024682
"1985","1",483354613,23016886.3333333,17130087,0.16946539528951,17121429.0254195,21,3736202.11975232,16871380.7256349,29162391.9410317,0.154192942132363,0.0312756382123211
"1985","2",681004774,32428798.7619048,18432000,0.238762060226688,33645290.2724647,21,7342004.25963481,20352276.4263513,44505321.0974582,0.292730512754174,0.0454698864256692
"1985","3",783693383,27989049.3928571,19291603,0.274764955922471,37457340.1566113,28,7078771.91631049,16345505.7319516,39632593.0537627,0.236105422089755,0.0313623168870503
"1985","4",904179169,30139305.6333333,15587171.5,0.317007588561331,29982284.5399612,30,5473991.18935838,21135391.3716168,39143219.8950499,0.316971123023708,0.0273595160024682
"1986","1",492127495,20505312.2916667,16608642,0.164805087234672,15082245.6477267,24,3078650.50102023,15441382.8489476,25569241.7343858,0.154192942132363,0.0312756382123211
"1986","2",874868892,41660423.4285714,18034150,0.292978639742453,43505359.4390965,21,9493647.75075815,26044762.4927372,57276084.3644056,0.292730512754174,0.0454698864256692
"1986","3",693506994,24768106.9285714,13424948.5,0.232243639717844,34196639.9626237,28,6462557.50107968,14138145.7835381,35398068.0736048,0.236105422089755,0.0313623168870503
"1986","4",925614968,34282035.8518519,27820000,0.30997263330503,31021698.1135365,27,5970128.5855232,24462048.1945874,44102023.5091163,0.316971123023708,0.0273595160024682
"1987","1",461743551,25652419.5,19397225,0.139203979827275,16436954.3759615,18,3874227.30043208,19279882.6732499,32024956.3267501,0.154192942132363,0.0312756382123211
"1987","2",829048391,37684017.7727273,25785362.5,0.249937081409501,33353419.4139655,22,7110972.91196658,25987508.1873254,49380527.3581292,0.292730512754174,0.0454698864256692
"1987","3",958490528,31949684.2666667,23328411.5,0.288960605590237,28960189.6577402,30,5287383.04839071,23252713.0824395,40646655.4508938,0.236105422089755,0.0313623168870503
"1987","4",1067745905,35591530.1666667,26712831.5,0.321898333172986,35538353.7279612,30,6488385.99780073,24919084.925123,46263975.4082103,0.316971123023708,0.0273595160024682
"1988","1",452661900,18860912.5,15200836,0.138502668142985,13899281.9956835,24,2837179.05670648,14194168.2382656,23527656.7617344,0.154192942132363,0.0312756382123211
"1988","2",1021700664,44421768,25537221,0.312613604121442,42309442.7185281,23,8822128.65753526,29910657.6802206,58932878.3197794,0.292730512754174,0.0454698864256692
"1988","3",693545432,28897726.3333333,21558422.5,0.212206710594329,21496617.8595132,24,4387978.74595061,21680143.5780705,36115309.0885962,0.236105422089755,0.0313623168870503
"1988","4",1100346010,37942965.862069,32078318,0.336677017141244,35592393.8906878,29,6609341.62006211,27071566.3265485,48814365.3975894,0.316971123023708,0.0273595160024682
"1989","1",409369548,18607706.7272727,15991602,0.104355067507672,11329255.6905824,22,2415405.42900804,14634718.3468106,22580695.1077349,0.154192942132363,0.0312756382123211
"1989","2",1355276736,52126028.3076923,29470134,0.345482452145798,60880291.2547118,26,11939607.4269611,32487121.7270787,71764934.8883059,0.292730512754174,0.0454698864256692
"1989","3",885597686,42171318.3809524,29445131,0.225753495243295,36529192.0266918,21,7971323.21609011,29059658.4773641,55282978.2845407,0.236105422089755,0.0313623168870503
"1989","4",1272608631,41051891.3225806,20047604,0.324408985103236,36836209.4613185,31,6615978.52582166,30169575.0485498,51934207.5966114,0.316971123023708,0.0273595160024682
"1990","1",711129344,44445584,20638449.5,0.169245484634033,52150269.3256971,16,13037567.3314243,23000694.0882828,65890473.9117172,0.154192942132363,0.0312756382123211
"1990","2",877556725,39888942.0454545,23565914,0.208854429183111,34237042.7206766,22,7299362.03394589,27882559.9294868,51895324.1614223,0.292730512754174,0.0454698864256692
"1990","3",1156572144,38552404.8,24330286.5,0.275258804431368,41433887.3288055,30,7564758.24503809,26109484.763638,50995324.8363619,0.236105422089755,0.0313623168870503
"1990","4",1456504366,45515761.4375,27686719,0.346641281751489,54962655.8246912,32,9716116.66141535,29534171.7070873,61497351.1679127,0.316971123023708,0.0273595160024682
"1991","1",712272263,32376011.9545455,20725861.5,0.17747614350046,31689175.9922853,22,6756155.02227425,21263125.8619113,43488898.0471796,0.154192942132363,0.0312756382123211
"1991","2",998351864,38398148.6153846,22696836.5,0.24875830196299,37847242.9260922,26,7422455.00830118,26189296.5740963,50607000.6566729,0.292730512754174,0.0454698864256692
"1991","3",946559097,41154743.3478261,34872033,0.235853151747449,39227955.0014415,23,8179594.05178287,27700508.4047603,54608978.2908918,0.236105422089755,0.0313623168870503
"1991","4",1356157662,46764057.3103448,25682090,0.337912402789101,37453674.4441354,29,6954972.74187692,35324145.17052,58203969.4501697,0.316971123023708,0.0273595160024682
"1992","1",795795267,37895012.7142857,25105517,0.183426308444053,34247140.5050793,21,7473338.747634,25602464.369803,50187561.0587685,0.154192942132363,0.0312756382123211
"1992","2",1080727568,49123980.3636364,27587529.5,0.249101592397331,45503054.4808279,22,9701283.81168087,33166788.4999075,65081172.2273652,0.292730512754174,0.0454698864256692
"1992","3",963014882,33207409.7241379,20006730,0.221969483995367,27532704.9900841,29,5112694.96406267,24797774.8690029,41617044.5792729,0.236105422089755,0.0313623168870503
"1992","4",1498963525,53534411.6071429,35360900.5,0.345502615163248,52042492.4311485,28,9835106.61291288,37357100.8234387,69711722.390847,0.316971123023708,0.0273595160024682
"1993","1",530737077,27933530.3684211,21665468,0.118105596485518,15575623.3950373,19,3573293.07166396,22055986.299334,33811074.4375081,0.154192942132363,0.0312756382123211
"1993","2",1315707624,52628304.96,32434006,0.292786090264171,69555596.6254169,25,13911119.3250834,29746549.8831819,75510060.0368181,0.292730512754174,0.0454698864256692
"1993","3",1203630549,42986805.3214286,31718393.5,0.267845436277739,41847110.1170215,28,7908360.46116957,29978709.9336342,55994900.709223,0.236105422089755,0.0313623168870503
"1993","4",1443675197,51559828.4642857,47301570.5,0.321262876972572,40195031.5206893,28,7596146.9531533,39065278.5975351,64054378.3310363,0.316971123023708,0.0273595160024682
"1994","1",659504134,27479338.9166667,21008839.5,0.143067509752685,14899294.7620504,24,3041305.80786213,22476836.0279361,32481841.8053973,0.154192942132363,0.0312756382123211
"1994","2",1128233800,56411690,27839091,0.244749944486032,70208603.001866,20,15699120.8917468,30588934.0612606,82234445.9387394,0.292730512754174,0.0454698864256692
"1994","3",1408826950,56353078,30806194,0.305619560239133,67578875.4538115,25,13515775.0907623,34121606.3208993,78584549.6791007,0.236105422089755,0.0313623168870503
"1994","4",1413175896,45586319.2258065,33423521,0.306562985522149,35692158.7207099,31,6410500.9470207,35041983.4925236,56130654.9590893,0.316971123023708,0.0273595160024682
"1995","1",518505429,28805857.1666667,24975300.5,0.108160815686937,13377138.754811,18,3153021.84213342,23619597.7537763,33992116.579557,0.154192942132363,0.0312756382123211
"1995","2",1529331408,61173256.32,38187431,0.319020251849537,48849896.2012559,25,9769979.24025117,45103070.5314323,77243442.1085677,0.292730512754174,0.0454698864256692
"1995","3",1139438384,43824553.2307692,37037314,0.237688128504524,24632006.1235583,26,4830733.84165233,35878703.1504902,51770403.3110483,0.236105422089755,0.0313623168870503
"1995","4",1606562785,51824605.9677419,39363635,0.335130803959002,37980597.0979283,31,6821516.61293067,40604209.6256532,63045002.3098307,0.316971123023708,0.0273595160024682
"1996","1",726898513,36344925.65,28617191,0.14407624412781,24771179.8137933,20,5539004.19465125,27234074.5107285,45455776.7892715,0.154192942132363,0.0312756382123211
"1996","2",1349518873,67475943.65,34814821.5,0.267483846952697,61853101.9391515,20,13830774.0555167,44726344.7812371,90225542.5187629,0.292730512754174,0.0454698864256692
"1996","3",1266733594,43680468.7586207,22231658,0.251075239899468,57522811.9003742,29,10681718.0087349,26110606.1498802,61250331.3673612,0.236105422089755,0.0313623168870503
"1996","4",1702084044,54905936.9032258,41083864,0.337364669020025,37931239.7656558,31,6812651.77436062,43700121.9230114,66111751.8834403,0.316971123023708,0.0273595160024682
"1997","1",1002913754,50145687.7,38815579.5,0.164037113943838,41081147.6854463,20,9186023.88183662,35036023.0006982,65255352.3993018,0.154192942132363,0.0312756382123211
"1997","2",1351797627,67589881.35,52021566.5,0.221100748179798,50696912.7030604,20,11336174.3053416,48943533.9281048,86236228.7718952,0.292730512754174,0.0454698864256692
"1997","3",1508408822,55866993.4074074,43700855,0.246716159611373,51634028.8184986,27,9936973.47923501,39522126.5391671,72211860.2756477,0.236105422089755,0.0313623168870503
"1997","4",2250823952,68206786.4242424,44229441,0.368145978264991,101640773.479224,33,17693387.5967874,39103753.6626084,97309819.1858764,0.316971123023708,0.0273595160024682
"1998","1",593743383,37108961.4375,28876805,0.101123216792738,21921010.5102813,16,5480252.62757033,28094748.0264306,46123174.8485694,0.154192942132363,0.0312756382123211
